car_brand;body_type;condition;num_seats;num_doors;mileage;first_reg;power_kW;transmission;displacement;fuel;fuel_eff;color;seller;brand;model;model_details;price;year_built;num_owners;co2_emission_gpkm;fuel_eff_combi_lpkm;fuel_eff_city_lpkm;fuel_eff_highway_lpkm
skoda;Limousine;Annual_cars;5;5;4300;07/2021;70;Manual;999.0;Super95_91;4,6 l/100 km (komb.)5,5 l/100 km (innerorts)4,1 l/100 km (außerorts);White;Retailer;Skoda ;Fabia;AZM Style Edt.: SOFORT+ NAVIGATIONSFUNKTION*+ W...;16699;2021;1;106;4;5;4
skoda;Smallcar;Used_cars;5;5;6000;09/2021;70;Manual;999.0;Super95_E10_PF;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;1.0 TSI Clever Best of SHZ NAVI LED ACC;19950;2021;1;109;4;5;3
skoda;Smallcar;Annual_cars;5;5;6250;09/2021;70;Manual;999.0;Super95_PF;4,6 l/100 km (komb.)6 l/100 km (innerorts)3,7 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;"Ambition 1.0 TSI, Sunset, 16"" Proxima, Fer";19989;2021;1;104;4;6;3
skoda;Limousine;Demonstration_cars;5;5;6600;01/2021;81;Manual;999.0;Super95;4,7 l/100 km (komb.)5,7 l/100 km (innerorts)4,1 l/100 km (außerorts);Black;Retailer;Skoda ;Fabia;Best of Drive 125 1.0 TSI Navi ACC PDCv+h;18990;2020;1;107;4;5;4
skoda;Limousine;Used_cars;5;5;8;12/2021;70;Manual;999.0;Super95_91;4,6 l/100 km (komb.)6 l/100 km (innerorts)3,7 l/100 km (außerorts);Orange;Retailer;Skoda ;Fabia;IV 1,0 TSI Ambition Neues Mod. DAB Link LED;18770;2021;2;104;4;6;3
skoda;Smallcar;Demonstration_cars;5;5;9900;02/2021;70;Manual;999.0;Super95;4,7 l/100 km (komb.)5,8 l/100 km (innerorts)4 l/100 km (außerorts);Silver;Retailer;Skoda ;Fabia;Best Of Clever 1.0 TSI ACC NAVI LED Pano;18790;2020;1;107;4;5;4
skoda;Limousine;Demonstration_cars;5;5;4500;12/2021;70;Manual;999.0;Super95;4,7 l/100 km (komb.)6 l/100 km (innerorts)3,9 l/100 km (außerorts);Black;Retailer;Skoda ;Scala;1.0 TSI Active FrontAssist Klima Einparkhi;16980;2021;1;118;4;6;3
skoda;Limousine;Used_cars;5;5;15;06/2021;70;Automatic;999.0;Super95;4,7 l/100 km (komb.)5,7 l/100 km (innerorts)4,1 l/100 km (außerorts);Black;Retailer;Skoda ;Fabia;Ambition   Automatik Kamera;17580;2021;1;108;4;5;4
skoda;Limousine;Used_cars;5;5;50;04/2021;70;Manual;999.0;Super95_91;4,7 l/100 km (komb.)6 l/100 km (innerorts)3,9 l/100 km (außerorts);Silver;Retailer;Skoda ;Scala;1,0 TSI Active DAB Alu Klima LED;17770;2021;2;106;4;6;3
skoda;Limousine;Demonstration_cars;5;5;9500;03/2021;70;Manual;999.0;Super95;4,7 l/100 km (komb.)5,8 l/100 km (innerorts)4 l/100 km (außerorts);White;Retailer;Skoda ;Fabia;Colour Concept 1.0 TSI 95 PS 5G Clima/RFK/SmartL+;16350;2021;1;107;4;5;4
